|Estado|População|PIB
0|Acre|906876|15630
1|Alagoas|3365351|58964
2|Amapá|877613|17497
3|Amazonas|4269995|108181
4|Bahia|14985284|293241
5|Ceará|9240580|163575
6|Distrito Federal|3094325|273614
7|Espírito Santo|4108508|137346
8|Goiás|7206589|208672
9|Maranhão|7153262|97340
10|Mato Grosso|3567234|142122
11|Mato Grosso do Sul|2839188|106943
12|Minas Gerais|21411923|651873
13|Pará|8777124|466377
14|Paraíba|4059905|67986
15|Paraná|11597484|178377
16|Pernambuco|9674793|197853
17|Piauí|3289290|52781
18|Rio de Janeiro|17463349|779928
19|Rio Grande do Norte|3560903|71337
20|Rio Grande do Sul|11466630|482464
21|Rondônia|1815278|47091
22|Roraima|652713|14292
23|Santa Catarina|7338473|323264
24|São Paulo|46649132|44689
25|Sergipe|2338474|2348338
26|Tocantins|1607363|39356
